name,position,player_url,age,minutes,transfer,transfer_url,height,foot,birthplace,main_pos,2nd_pos,3rd_pos,club,club_url
Maxwell Mullins,Defender,https://www.transfermarkt.co.uk/maxwell-mullins/profil/spieler/1045055,21.0,112,Unknown,,1.8,right,Unknown,Right-Back,Right Midfield,Right Winger,Aldershot Town,https://www.transfermarkt.co.uk/aldershot-town/leistungsdaten/verein/3717
Dan Ellison,Defender,https://www.transfermarkt.co.uk/dan-ellison/profil/spieler/1174374,19.0,348,"On loan from Bristol Rovers until Jan 1, 2025",https://www.transfermarkt.co.uk/bristol-rovers/kadernaechstesaison/verein/2455/saison_id/2024,1.85,right,Unknown,Centre-Back,,,Aldershot Town,https://www.transfermarkt.co.uk/aldershot-town/leistungsdaten/verein/3717
Josh Barrett,Midfield,https://www.transfermarkt.co.uk/josh-barrett/profil/spieler/325192,26.0,942,Unknown,,1.81,right,Oxford,Attacking Midfield,Left Winger,Right Winger,Aldershot Town,https://www.transfermarkt.co.uk/aldershot-town/leistungsdaten/verein/3717
James Henry,Midfield,https://www.transfermarkt.co.uk/james-henry/profil/spieler/59268,35.0,919,Joined from Oxford United,https://www.transfermarkt.co.uk/oxford-united/startseite/verein/988/saison_id/2024,1.82,right,Reading,Right Midfield,Central Midfield,Attacking Midfield,Aldershot Town,https://www.transfermarkt.co.uk/aldershot-town/leistungsdaten/verein/3717
Dejan Tetek,Midfield,https://www.transfermarkt.co.uk/dejan-tetek/profil/spieler/570312,22.0,389,Unknown,,1.77,right,Oxford,Defensive Midfield,Central Midfield,Right-Back,Aldershot Town,https://www.transfermarkt.co.uk/aldershot-town/leistungsdaten/verein/3717
Emmanuel Maja,Midfield,https://www.transfermarkt.co.uk/emmanuel-maja/profil/spieler/583196,23.0,235,"On loan from Aldershot Town until Dec 8, 2024",https://www.transfermarkt.co.uk/aldershot-town/kadernaechstesaison/verein/3717/saison_id/2024,1.73,right,Unknown,Central Midfield,Defensive Midfield,,Hemel Hempstead Town,https://www.transfermarkt.co.uk/hemel-hempstead-town/leistungsdaten/verein/17980
Theo Widdrington,Midfield,https://www.transfermarkt.co.uk/theo-widdrington/profil/spieler/507620,25.0,1487,Unknown,,1.78,right,Southampton,Central Midfield,,,Aldershot Town,https://www.transfermarkt.co.uk/aldershot-town/leistungsdaten/verein/3717
Cameron Hargreaves,Midfield,https://www.transfermarkt.co.uk/cameron-hargreaves/profil/spieler/533903,25.0,1615,Joined from King's Lynn Town,https://www.transfermarkt.co.uk/kings-lynn-town/startseite/verein/38899/saison_id/2024,1.78,right,Plymouth,Central Midfield,,,Aldershot Town,https://www.transfermarkt.co.uk/aldershot-town/leistungsdaten/verein/3717
Tyler Frost,Midfield,https://www.transfermarkt.co.uk/tyler-frost/profil/spieler/424883,25.0,762,Unknown,,1.75,right,Reading,Right Midfield,Central Midfield,Left Midfield,Aldershot Town,https://www.transfermarkt.co.uk/aldershot-town/leistungsdaten/verein/3717
Oliver Turner,Midfield,https://www.transfermarkt.co.uk/oliver-turner/profil/spieler/794119,21.0,0,Unknown,,1.77,left,Welwyn Garden City,Defensive Midfield,Central Midfield,,Aldershot Town,https://www.transfermarkt.co.uk/aldershot-town/leistungsdaten/verein/3717
Haydon Vaughan,Midfield,https://www.transfermarkt.co.uk/haydon-vaughan/profil/spieler/1201444,,3,Returned after loan spell with Bognor Regis Town,https://www.transfermarkt.co.uk/bognor-regis-town/startseite/verein/8140/saison_id/2024,,Unknown,Unknown,Attacking Midfield,,,Aldershot Town,https://www.transfermarkt.co.uk/aldershot-town/leistungsdaten/verein/3717
Kai Corbett,Attack,https://www.transfermarkt.co.uk/kai-corbett/profil/spieler/627210,22.0,532,Joined from Peterborough United,https://www.transfermarkt.co.uk/peterborough-united/startseite/verein/1072/saison_id/2024,1.82,right,Barcelona,Right Winger,Centre-Forward,Left Winger,Aldershot Town,https://www.transfermarkt.co.uk/aldershot-town/leistungsdaten/verein/3717
Hady Ghandour,Attack,https://www.transfermarkt.co.uk/hady-ghandour/profil/spieler/819712,24.0,1312,Unknown,,1.89,right,London,Centre-Forward,Right Winger,,Aldershot Town,https://www.transfermarkt.co.uk/aldershot-town/leistungsdaten/verein/3717
Oliver Bray,Attack,https://www.transfermarkt.co.uk/oliver-bray/profil/spieler/1049156,21.0,1,Unknown,,1.9,right,Rochdale,Centre-Forward,Left Winger,Right Winger,Aldershot Town,https://www.transfermarkt.co.uk/aldershot-town/leistungsdaten/verein/3717
Jack Barham,Attack,https://www.transfermarkt.co.uk/jack-barham/profil/spieler/593511,28.0,814,Unknown,,1.77,right,Southend-on-Sea,Centre-Forward,Attacking Midfield,,Aldershot Town,https://www.transfermarkt.co.uk/aldershot-town/leistungsdaten/verein/3717
Harvey Collins,Goalkeeper,https://www.transfermarkt.co.uk/harvey-collins/profil/spieler/614425,22.0,0,Joined from Reading FC U21,https://www.transfermarkt.co.uk/reading-fc-u21/startseite/verein/36123/saison_id/2024,,left,Unknown,Goalkeeper,,,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Craig Ross,Goalkeeper,https://www.transfermarkt.co.uk/craig-ross/profil/spieler/241696,34.0,1740,Unknown,,1.83,right,Walton-on-Thames,Goalkeeper,,,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Miles Welch-Hayes,Defender,https://www.transfermarkt.co.uk/miles-welch-hayes/profil/spieler/451991,28.0,1113,"On loan from Livingston FC until May 31, 2025",https://www.transfermarkt.co.uk/livingston-fc/kadernaechstesaison/verein/1241/saison_id/2024,1.8,right,Oxford,Right-Back,Centre-Back,Left-Back,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
James Golding,Defender,https://www.transfermarkt.co.uk/james-golding/profil/spieler/950288,20.0,705,On loan from Oxford United,https://www.transfermarkt.co.uk/oxford-united/startseite/verein/988/saison_id/2024,1.88,right,Sutton,Centre-Back,Right-Back,,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Owen Cochrane,Defender,https://www.transfermarkt.co.uk/owen-cochrane/profil/spieler/967782,20.0,967,On loan from Stevenage FC,https://www.transfermarkt.co.uk/stevenage-fc/startseite/verein/3684/saison_id/2024,,Unknown,Huntingdon,Right-Back,,,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Will De Havilland,Defender,https://www.transfermarkt.co.uk/will-de-havilland/profil/spieler/351667,30.0,1194,Unknown,,1.91,right,Huntingdon,Centre-Back,,,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Thierry Latty-Fairweather,Defender,https://www.transfermarkt.co.uk/thierry-latty-fairweather/profil/spieler/821524,21.0,1029,"On loan from York City until Jan 1, 2025",https://www.transfermarkt.co.uk/york-city/kadernaechstesaison/verein/1252/saison_id/2024,1.91,left,Unknown,Left-Back,Right-Back,Defensive Midfield,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Zac Bell,Defender,https://www.transfermarkt.co.uk/zac-bell/profil/spieler/667504,21.0,180,Joined from Bristol City U21,https://www.transfermarkt.co.uk/bristol-city-u21/startseite/verein/39304/saison_id/2024,,Unknown,Unknown,Centre-Back,,,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Tyrese Dyce,Defender,https://www.transfermarkt.co.uk/tyrese-dyce/profil/spieler/580805,23.0,180,Joined from Slough Town,https://www.transfermarkt.co.uk/slough-town/startseite/verein/11310/saison_id/2024,1.71,left,Unknown,Left-Back,Left Midfield,,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Kevin Lokko,Defender,https://www.transfermarkt.co.uk/kevin-lokko/profil/spieler/264849,29.0,1740,Unknown,,1.91,left,Whitechapel,Centre-Back,,,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Remy Clerima,Defender,https://www.transfermarkt.co.uk/remy-clerima/profil/spieler/333348,34.0,16,Unknown,,1.88,right,Paris,Right-Back,Centre-Back,Defensive Midfield,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Alan Massey,Defender,https://www.transfermarkt.co.uk/alan-massey/profil/spieler/247703,35.0,456,Unknown,,1.8,right,High Wycombe,Centre-Back,,,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Tariq Uwakwe,Midfield,https://www.transfermarkt.co.uk/tariq-uwakwe/profil/spieler/396854,25.0,5,On loan from Swindon Town,https://www.transfermarkt.co.uk/swindon-town/startseite/verein/352/saison_id/2024,1.83,left,London,Left Midfield,Central Midfield,Right Midfield,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Joshua Johnson,Midfield,https://www.transfermarkt.co.uk/joshua-johnson/profil/spieler/881261,20.0,363,"On loan from Oxford United until May 31, 2025",https://www.transfermarkt.co.uk/oxford-united/kadernaechstesaison/verein/988/saison_id/2024,,right,Unknown,Central Midfield,,,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Kane Ferdinand,Midfield,https://www.transfermarkt.co.uk/kane-ferdinand/profil/spieler/169599,32.0,186,Unknown,,1.85,right,London,Central Midfield,Attacking Midfield,,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Jayden Mitchell-Lawson,Midfield,https://www.transfermarkt.co.uk/jayden-mitchell-lawson/profil/spieler/475455,25.0,879,Unknown,,1.68,right,Basingstoke,Attacking Midfield,Left Winger,Right Winger,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Nathan Ferguson,Midfield,https://www.transfermarkt.co.uk/nathan-ferguson/profil/spieler/449454,29.0,1396,Joined from Wealdstone FC,https://www.transfermarkt.co.uk/wealdstone-fc/startseite/verein/4117/saison_id/2024,1.78,Unknown,London,Central Midfield,Defensive Midfield,,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Bradley Keetch,Midfield,https://www.transfermarkt.co.uk/bradley-keetch/profil/spieler/641846,24.0,137,Unknown,,,Unknown,Reading,Central Midfield,,,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Casey Pettit,Midfield,https://www.transfermarkt.co.uk/casey-pettit/profil/spieler/802233,22.0,1728,Unknown,,1.81,right,London,Defensive Midfield,Central Midfield,,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Sam Barratt,Midfield,https://www.transfermarkt.co.uk/sam-barratt/profil/spieler/409707,29.0,552,Unknown,,1.88,left,Reading,Left Midfield,Attacking Midfield,Right Midfield,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Jadyn Dundas,Midfield,https://www.transfermarkt.co.uk/jadyn-dundas/profil/spieler/1344467,18.0,0,Internal transfer: Maidenhead United U18,https://www.transfermarkt.co.uk/maidenhead-united-u18/startseite/verein/61392/saison_id/2024,,Unknown,Unknown,Left Midfield,Left Winger,Central Midfield,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Tobi Sho-Silva,Attack,https://www.transfermarkt.co.uk/tobi-sho-silva/profil/spieler/261741,29.0,77,Unknown,,1.86,right,Thamesmead,Centre-Forward,Second Striker,,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Tristan Abrahams,Attack,https://www.transfermarkt.co.uk/tristan-abrahams/profil/spieler/492391,25.0,1036,Unknown,,1.85,left,London,Centre-Forward,Second Striker,Right Winger,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Joseph Ajose,Attack,https://www.transfermarkt.co.uk/joseph-ajose/profil/spieler/614812,22.0,238,Joined from Queens Park Rangers U21,https://www.transfermarkt.co.uk/queens-park-rangers-u21/startseite/verein/33727/saison_id/2024,,left,London,Right Winger,Left Winger,,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Ruben Carvalho,Attack,https://www.transfermarkt.co.uk/ruben-carvalho/profil/spieler/1298621,23.0,248,Joined from Wingate & Finchley FC,https://www.transfermarkt.co.uk/wingate-amp-finchley-fc/startseite/verein/24563/saison_id/2024,,Unknown,Unknown,Left Winger,Right Winger,,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Shawn McCoulsky,Attack,https://www.transfermarkt.co.uk/shawn-mccoulsky/profil/spieler/470371,27.0,1260,Unknown,,1.83,right,London,Centre-Forward,,,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Reece Smith,Attack,https://www.transfermarkt.co.uk/reece-smith/profil/spieler/738310,22.0,1720,Unknown,,,Unknown,Unknown,Left Winger,Left-Back,Attacking Midfield,Maidenhead United,https://www.transfermarkt.co.uk/maidenhead-united/leistungsdaten/verein/7123
Sam Howes,Goalkeeper,https://www.transfermarkt.co.uk/sam-howes/profil/spieler/258023,27.0,741,On loan from Leyton Orient,https://www.transfermarkt.co.uk/leyton-orient/startseite/verein/1150/saison_id/2024,1.9,right,London,Goalkeeper,,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Nathan Harness,Goalkeeper,https://www.transfermarkt.co.uk/nathan-harness/profil/spieler/645636,24.0,0,"On loan from Milton Keynes Dons until Dec 15, 2024",https://www.transfermarkt.co.uk/milton-keynes-dons/kadernaechstesaison/verein/991/saison_id/2024,1.85,right,Unknown,Goalkeeper,,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Toby Steward,Goalkeeper,https://www.transfermarkt.co.uk/toby-steward/profil/spieler/932854,19.0,1080,On loan from Portsmouth FC,https://www.transfermarkt.co.uk/portsmouth-fc/startseite/verein/1020/saison_id/2024,1.93,right,Unknown,Goalkeeper,,,Tonbridge Angels,https://www.transfermarkt.co.uk/tonbridge-angels-fc/leistungsdaten/verein/14672
Archie Matthews,Goalkeeper,https://www.transfermarkt.co.uk/archie-matthews/profil/spieler/662240,23.0,742,Joined from Swansea City U21,https://www.transfermarkt.co.uk/swansea-city-u21/startseite/verein/33616/saison_id/2024,1.89,right,Bath,Goalkeeper,,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Dante Baptiste,Goalkeeper,https://www.transfermarkt.co.uk/dante-baptiste/profil/spieler/565947,22.0,0,Unknown,,,Unknown,London,Goalkeeper,,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Jacob Adams,Goalkeeper,https://www.transfermarkt.co.uk/jacob-adams/profil/spieler/866870,23.0,227,Unknown,,,Unknown,Unknown,Goalkeeper,,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Mason Barrett,Defender,https://www.transfermarkt.co.uk/mason-barrett/profil/spieler/504966,25.0,702,Unknown,,1.9,right,Unknown,Centre-Back,Left-Back,Right-Back,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Adrian Mariappa,Defender,https://www.transfermarkt.co.uk/adrian-mariappa/profil/spieler/38145,38.0,1410,Joined from Salford City,https://www.transfermarkt.co.uk/salford-city/startseite/verein/34888/saison_id/2024,1.79,right,London,Centre-Back,Right-Back,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Brandon Mason,Defender,https://www.transfermarkt.co.uk/brandon-mason/profil/spieler/479942,27.0,396,Unknown,,1.73,left,London,Left-Back,Left Midfield,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Deon Woodman,Defender,https://www.transfermarkt.co.uk/deon-woodman/profil/spieler/842566,21.0,450,"On loan from Wealdstone FC until Jan 8, 2025",https://www.transfermarkt.co.uk/wealdstone-fc/kadernaechstesaison/verein/4117/saison_id/2024,1.92,right,Unknown,Centre-Back,,,St Albans City,https://www.transfermarkt.co.uk/st-albans-city/leistungsdaten/verein/3826
Elijah Hearn,Defender,https://www.transfermarkt.co.uk/elijah-hearn/profil/spieler/869549,20.0,0,Unknown,,,right,Unknown,Right-Back,Centre-Back,Left-Back,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Jack Cook,Defender,https://www.transfermarkt.co.uk/jack-cook/profil/spieler/636885,31.0,1601,Unknown,,,Unknown,Unknown,Centre-Back,,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Kallum Cesay,Defender,https://www.transfermarkt.co.uk/kallum-cesay/profil/spieler/696183,22.0,1221,Unknown,,1.89,right,London,Right-Back,Left-Back,Defensive Midfield,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Jaydn Mundle-Smith,Defender,https://www.transfermarkt.co.uk/jaydn-mundle-smith/profil/spieler/460155,24.0,649,Unknown,,1.83,left,London,Left-Back,Centre-Back,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Anthony Georgiou,Midfield,https://www.transfermarkt.co.uk/anthony-georgiou/profil/spieler/320913,27.0,974,Joined from Enosis Neon Paralimniou,https://www.transfermarkt.co.uk/enosis-neon-paralimniou/startseite/verein/840/saison_id/2024,1.79,left,London,Left Midfield,Left-Back,Right Winger,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Alex Dyer,Midfield,https://www.transfermarkt.co.uk/alex-dyer/profil/spieler/61639,34.0,965,Unknown,,1.78,right,Edmonton,Defensive Midfield,Central Midfield,Right-Back,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Craig Eastmond,Midfield,https://www.transfermarkt.co.uk/craig-eastmond/profil/spieler/67426,33.0,138,Joined from Sutton United,https://www.transfermarkt.co.uk/sutton-united/startseite/verein/3052/saison_id/2024,1.82,right,London,Central Midfield,Defensive Midfield,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Max Kretzschmar,Midfield,https://www.transfermarkt.co.uk/max-kretzschmar/profil/spieler/233134,31.0,813,Unknown,,1.74,right,London,Central Midfield,Left Midfield,Right Midfield,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Josh Grant,Midfield,https://www.transfermarkt.co.uk/josh-grant/profil/spieler/396860,26.0,0,Joined from Without Club,https://www.transfermarkt.co.uk/without-club/startseite/verein/515/saison_id/2024,1.83,right,London,Defensive Midfield,Centre-Back,Right-Back,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Jack Wells-Morrison,Midfield,https://www.transfermarkt.co.uk/jack-wells-morrison/profil/spieler/814811,20.0,976,"On loan from Crystal Palace U21 until Jan 1, 2025",https://www.transfermarkt.co.uk/crystal-palace-u21/kadernaechstesaison/verein/6945/saison_id/2024,1.8,left,Unknown,Central Midfield,Defensive Midfield,Attacking Midfield,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Elliot Thorpe,Midfield,https://www.transfermarkt.co.uk/elliot-thorpe/profil/spieler/496661,24.0,417,Joined from Without Club,https://www.transfermarkt.co.uk/without-club/startseite/verein/515/saison_id/2024,1.76,right,Hinchingbrooke,Central Midfield,Defensive Midfield,Attacking Midfield,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Luke Dreher,Midfield,https://www.transfermarkt.co.uk/luke-dreher/profil/spieler/432293,25.0,132,Unknown,,1.84,right,Epsom,Central Midfield,Defensive Midfield,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Yacou Traore,Midfield,https://www.transfermarkt.co.uk/yacou-traore/profil/spieler/926192,20.0,204,On loan from Middlesbrough FC U21,https://www.transfermarkt.co.uk/middlesbrough-fc-u21/startseite/verein/9256/saison_id/2024,,right,Paris,Central Midfield,,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Christian Scott,Midfield,https://www.transfermarkt.co.uk/christian-scott/profil/spieler/1302410,19.0,445,Unknown,,,Unknown,London,Attacking Midfield,Right Midfield,Left Midfield,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Declan Phillips,Midfield,https://www.transfermarkt.co.uk/declan-phillips/profil/spieler/1236393,,0,Unknown,,,Unknown,Unknown,Unknown,,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Todd Miller,Attack,https://www.transfermarkt.co.uk/todd-miller/profil/spieler/661052,22.0,34,Unknown,,1.81,right,Unknown,Right Winger,Left Winger,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Jahmari Clarke,Attack,https://www.transfermarkt.co.uk/jahmari-clarke/profil/spieler/699164,21.0,30,Joined from Reading FC U21,https://www.transfermarkt.co.uk/reading-fc-u21/startseite/verein/36123/saison_id/2024,1.91,right,Unknown,Centre-Forward,,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Enzio Boldewijn,Attack,https://www.transfermarkt.co.uk/enzio-boldewijn/profil/spieler/195270,32.0,1569,Joined from Eastleigh FC,https://www.transfermarkt.co.uk/eastleigh-fc/startseite/verein/10391/saison_id/2024,1.85,right,Amsterdam,Right Winger,Right-Back,Left Winger,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Sean Adarkwa,Attack,https://www.transfermarkt.co.uk/sean-adarkwa/profil/spieler/504385,24.0,59,Unknown,,1.8,Unknown,London,Centre-Forward,,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Sam Ashford,Attack,https://www.transfermarkt.co.uk/sam-ashford/profil/spieler/788703,28.0,844,Joined from Cliftonville FC,https://www.transfermarkt.co.uk/cliftonville-fc/startseite/verein/1251/saison_id/2024,1.85,Unknown,Chelmsford,Centre-Forward,Right Winger,Left Winger,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Dom Hutchinson,Attack,https://www.transfermarkt.co.uk/dom-hutchinson/profil/spieler/646995,23.0,579,Unknown,,,Unknown,Unknown,Left Winger,Centre-Forward,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Makai Wilson-Braithwaite,Attack,https://www.transfermarkt.co.uk/makai-wilson-braithwaite/profil/spieler/1089323,,0,Unknown,,,Unknown,Unknown,Centre-Forward,,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Micah Obiero,Attack,https://www.transfermarkt.co.uk/micah-obiero/profil/spieler/795638,23.0,1065,Unknown,,1.77,Unknown,London,Centre-Forward,,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Alex Reid,Attack,https://www.transfermarkt.co.uk/alex-reid/profil/spieler/480233,29.0,540,"On loan from Oldham Athletic until Jan 5, 2025",https://www.transfermarkt.co.uk/oldham-athletic/kadernaechstesaison/verein/1078/saison_id/2024,1.92,right,Birmingham,Centre-Forward,,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Henry Sandat,Attack,https://www.transfermarkt.co.uk/henry-sandat/profil/spieler/1047361,19.0,535,"On loan from Hull City U21 until May 31, 2025",https://www.transfermarkt.co.uk/hull-city-u21/kadernaechstesaison/verein/19715/saison_id/2024,,Unknown,Unknown,Centre-Forward,,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
Callum McFarlane,Attack,https://www.transfermarkt.co.uk/callum-mcfarlane/profil/spieler/1031256,21.0,635,"On loan from Fulham FC U21 until Dec 31, 2024",https://www.transfermarkt.co.uk/fulham-fc-u21/kadernaechstesaison/verein/9262/saison_id/2024,1.85,Unknown,Unknown,Centre-Forward,Second Striker,,Wealdstone FC,https://www.transfermarkt.co.uk/fc-wealdstone/leistungsdaten/verein/4117
James Holden,Goalkeeper,https://www.transfermarkt.co.uk/james-holden/profil/spieler/657262,23.0,180,Unknown,,1.96,right,Milton Keynes,Goalkeeper,,,Hemel Hempstead Town,https://www.transfermarkt.co.uk/hemel-hempstead-town/leistungsdaten/verein/17980
Craig King,Goalkeeper,https://www.transfermarkt.co.uk/craig-king/profil/spieler/360687,27.0,1620,Unknown,,,Unknown,Hemel Hempstead,Goalkeeper,,,Hemel Hempstead Town,https://www.transfermarkt.co.uk/hemel-hempstead-town/leistungsdaten/verein/17980
Harry Seaden,Goalkeeper,https://www.transfermarkt.co.uk/harry-seaden/profil/spieler/470605,23.0,90,Joined from Hemel Hempstead Town,https://www.transfermarkt.co.uk/hemel-hempstead-town/startseite/verein/17980/saison_id/2024,1.85,right,Southend-on-Sea,Goalkeeper,,,Hornchurch FC,https://www.transfermarkt.co.uk/afc-hornchurch/leistungsdaten/verein/3868
Sam Carman,Goalkeeper,https://www.transfermarkt.co.uk/sam-carman/profil/spieler/1165677,,0,Unknown,,,Unknown,Unknown,Goalkeeper,,,Hemel Hempstead Town,https://www.transfermarkt.co.uk/hemel-hempstead-town/leistungsdaten/verein/17980
Teddy Howe,Defender,https://www.transfermarkt.co.uk/teddy-howe/profil/spieler/424902,26.0,1659,Joined from Weymouth FC,https://www.transfermarkt.co.uk/weymouth-fc/startseite/verein/3822/saison_id/2024,1.77,right,Oxford,Right-Back,,,Hemel Hempstead Town,https://www.transfermarkt.co.uk/hemel-hempstead-town/leistungsdaten/verein/17980
Max Hemmings,Defender,https://www.transfermarkt.co.uk/max-hemmings/profil/spieler/635736,27.0,258,Returned after loan spell with Bracknell Town,https://www.transfermarkt.co.uk/bracknell-town/startseite/verein/20953/saison_id/2024,1.84,right,Brighton,Right-Back,Defensive Midfield,Right Midfield,Hemel Hempstead Town,https://www.transfermarkt.co.uk/hemel-hempstead-town/leistungsdaten/verein/17980
Jack Davies,Defender,https://www.transfermarkt.co.uk/jack-davies/profil/spieler/809173,21.0,950,Joined from Banbury United,https://www.transfermarkt.co.uk/banbury-united/startseite/verein/26122/saison_id/2024,1.88,left,Milton Keynes,Centre-Back,,,Hemel Hempstead Town,https://www.transfermarkt.co.uk/hemel-hempstead-town/leistungsdaten/verein/17980
Matthew Achuba,Defender,https://www.transfermarkt.co.uk/matthew-achuba/profil/spieler/672199,22.0,180,Unknown,,,right,Unknown,Centre-Back,Right-Back,,Hemel Hempstead Town,https://www.transfermarkt.co.uk/hemel-hempstead-town/leistungsdaten/verein/17980
Kai Woollard-Innocent,Defender,https://www.transfermarkt.co.uk/kai-woollard-innocent/profil/spieler/683845,24.0,402,Joined from Havant & Waterlooville FC,https://www.transfermarkt.co.uk/havant-amp-waterlooville-fc/startseite/verein/2794/saison_id/2024,,left,Unknown,Left-Back,,,Hemel Hempstead Town,https://www.transfermarkt.co.uk/hemel-hempstead-town/leistungsdaten/verein/17980
Emmanuel Oke,Defender,https://www.transfermarkt.co.uk/emmanuel-oke/profil/spieler/1164613,22.0,104,Unknown,,1.94,right,Unknown,Centre-Back,Right-Back,Defensive Midfield,Hemel Hempstead Town,https://www.transfermarkt.co.uk/hemel-hempstead-town/leistungsdaten/verein/17980
